CustomerID,Lookalikes
C0001,"[('C0048', 0.8591340248815819), ('C0190', 0.8585627116198324), ('C0120', 0.8430365819240723)]"
C0002,"[('C0106', 0.9093035245649455), ('C0159', 0.8998209400868196), ('C0134', 0.8978643439148148)]"
C0003,"[('C0031', 0.9137348282852771), ('C0133', 0.8649473256056995), ('C0129', 0.8497592896181724)]"
C0004,"[('C0113', 0.9407566122987313), ('C0012', 0.891393327498824), ('C0104', 0.8684507247483347)]"
C0005,"[('C0007', 0.9645645935542924), ('C0146', 0.9444562459162191), ('C0186', 0.9117172219106968)]"
C0006,"[('C0187', 0.9064553991839064), ('C0168', 0.7487528989246692), ('C0171', 0.7429850004343723)]"
C0007,"[('C0005', 0.9645645935542924), ('C0140', 0.9397481340892208), ('C0146', 0.9016424631197263)]"
C0008,"[('C0098', 0.8254409841178114), ('C0194', 0.8055350841755924), ('C0059', 0.7915537107504048)]"
C0009,"[('C0198', 0.9491286948861128), ('C0062', 0.8804983709039493), ('C0060', 0.8500382568356409)]"
C0010,"[('C0111', 0.8618271351782072), ('C0062', 0.8518403379807026), ('C0061', 0.8436083862834505)]"
C0011,"[('C0126', 0.9558914339761369), ('C0153', 0.8792210688503044), ('C0171', 0.8627776306196573)]"
C0012,"[('C0104', 0.945821137003373), ('C0004', 0.891393327498824), ('C0113', 0.8715678832109843)]"
C0013,"[('C0188', 0.8873279168734514), ('C0102', 0.8860688024353088), ('C0099', 0.8241672591435135)]"
C0014,"[('C0060', 0.9823686728980652), ('C0198', 0.9193183715681948), ('C0009', 0.8390268252203986)]"
C0015,"[('C0036', 0.9431483906918765), ('C0131', 0.9403440652963904), ('C0144', 0.9109974471872266)]"
C0016,"[('C0183', 0.9925089101359079), ('C0067', 0.8807004420359568), ('C0072', 0.8637904462668665)]"
C0017,"[('C0075', 0.9517728181329889), ('C0041', 0.8738934737541798), ('C0057', 0.8370309614406883)]"
C0018,"[('C0122', 0.7912633453173569), ('C0117', 0.7603230215161134), ('C0068', 0.7426536719060979)]"
C0019,"[('C0070', 0.7824330823699537), ('C0121', 0.7580678199901508), ('C0064', 0.7189241890612134)]"
C0020,"[('C0050', 0.8543782976178382), ('C0144', 0.8540728362403829), ('C0015', 0.8488140892872419)]"
